,Unnamed: 0.1,url,fetch_date,active,removal_date,hinta,valmistusvuosi,Kohdenumero,Tyyppi,Asuintilojen pinta-ala,Kerrokset,Tontin omistus,hoitovastike,yhtiovastike_yhteensa,huoneita,tontin_vuokra-aika,katuosoite,neliohinta,neliovastike,lat,lon
22,22,https://www.etuovi.com/kohde/80427175,25072025,True,,114000.0,1980.0,80427175,2h + kk + kh + s + lasitettu parveke,42.0,2/5,Oma,178.5,311.64,2,,Isokatu 78 A,2714.285714285714,4.25,65.0056444,25.4630347
23,23,https://www.etuovi.com/kohde/599128,25072025,True,,99000.0,1976.0,599128,"2h, k",58.5,3/3 (ylin kerros),Oma,245.7,245.7,2,,Tarkka-ampujankatu 31 A,1692.3076923076924,4.2,65.003519,25.4571393
24,24,https://www.etuovi.com/kohde/20995328,25072025,True,,99500.0,1965.0,20995328,"2h, k, oh, kph / wc, lasitettu parveke",55.5,3/3,Vuokra,173.6,279.76,2,30.12.2024,Aleksanterinkatu 58,1792.7927927927929,3.127927927927928,65.0032758,25.448124
25,25,https://www.etuovi.com/kohde/1396092,25072025,True,,119500.0,1958.0,1396092,"2h, k, kph / wc, parveke",50.5,2/3,Oma,202.0,202.0,2,,Kirkkokatu 56,2366.3366336633662,4.0,65.0043281,25.4588018
26,26,https://www.etuovi.com/kohde/21388986,25072025,True,,98000.0,1976.0,21388986,"2h, k, wc, lasiettu parveke",50.0,2/4,Oma,191.8,323.95,2,,Aleksanterinkatu 50,1960.0,3.836,65.0046775,25.4536114
27,27,https://www.etuovi.com/kohde/20217489,25072025,True,,149000.0,1929.0,20217489,2h + k + kph + et,56.0,1/2,Oma,123.2,207.2,2,,Peltokatu 22,2660.714285714286,2.2,65.0047436,25.4667165
28,28,https://www.etuovi.com/kohde/20205626,25072025,True,,79500.0,1972.0,20205626,1h + kk,30.5,1/5,Oma,140.3,216.55,1,,Kirkkokatu 67-69,2606.55737704918,4.6000000000000005,65.0149645,25.4748226
29,29,https://www.etuovi.com/kohde/21029015,25072025,True,,83000.0,1961.0,21029015,2h + k,48.0,3/3,Vuokra,194.88,393.24,2,30.12.2055,Tarkka-ampujankatu 14,1729.1666666666667,4.06,65.0036383,25.4543824
30,30,https://www.etuovi.com/kohde/58753080,25072025,True,,138000.0,1972.0,58753080,"3h, k, kph, lasp",78.5,Ylin kerros,Vuokra,408.0,558.0,3,1.1.2055,Aleksanterinkatu 75,1757.9617834394903,5.197452229299363,65.0051172,25.4556555
31,31,https://www.etuovi.com/kohde/593061,25072025,True,,185000.0,2002.0,593061,"3h, k, s",70.0,Ei tiedossa,Vuokra,280.0,280.0,3,Vuokrasopimus päättyy 31.12.2060,Uusikatu 88 as,2642.8571428571427,4.0,65.0,25.0
32,32,https://www.etuovi.com/kohde/80421533,25072025,False,2025-07-26,117000.0,1960.0,80421533,"3h, k, kph / wc, vh, parveke",67.5,1/3,Vuokra,308.4,331.53,3,31.12.2054,Tarkka-ampujankatu 18 C,1733.3333333333333,4.568888888888888,65.0033684,25.4563352
33,33,https://www.etuovi.com/kohde/80419380,25072025,True,,109000.0,1974.0,80419380,"2h, kk, kph",40.0,4/5,Oma,0.0,218.0,2,,Isokatu 73 A,2725.0,0.0,65.0060984,25.4649872
34,34,https://www.etuovi.com/kohde/594553,25072025,True,,59500.0,1960.0,594553,"1h, kk",27.0,Ei tiedossa,Vuokra,156.0,250.26,1,Vuokrasopimus päättyy 01.01.2055,Tarkka-ampujankatu 18 D,2203.703703703704,5.777777777777778,65.0027507,25.4574755
35,35,https://www.etuovi.com/kohde/21468071,25072025,True,,164900.0,2019.0,21468071,"1h, k, alk",37.0,5/5,Oma,114.7,999.99,1,,Isokatu 87,4456.756756756757,3.1,65.003996,25.4624652
36,36,https://www.etuovi.com/kohde/54311066,25072025,True,,198000.0,1980.0,54311066,"4h, k, s, lasp",88.5,Ei tiedossa,Oma,376.13,805.36,4,,Isokatu 78,2237.2881355932204,4.250056497175141,65.0056444,25.4630347
37,37,https://www.etuovi.com/kohde/1388105,25072025,True,,141000.0,2013.0,1388105,"1h, kt, kph / wc, s, lasitettu parveke",35.5,3/7,Oma,113.6,610.03,1,,Aleksanterinkatu 67,3971.830985915493,3.2,65.0072438,25.4588488
38,38,https://www.etuovi.com/kohde/20240378,25072025,True,,176000.0,1965.0,20240378,5h + k + sa,99.0,2/3,Vuokra,279.8,846.4,5,30.12.2059,Aleksanterinkatu 58 A 4,1777.7777777777778,2.8262626262626265,65.0116791,25.464588
39,39,https://www.etuovi.com/kohde/593216,25072025,True,,93000.0,1959.0,593216,"4h, k, kh",71.0,2/3,Oma,248.5,336.54,4,,Puistokatu 32 A,1309.8591549295777,3.5,65.0041757,25.4613025
40,40,https://www.etuovi.com/kohde/596368,25072025,True,,89900.0,1960.0,596368,"2h, kk",41.0,3/6,Vuokra,218.0,219.6,2,Vuokrasopimus päättyy 01.01.2055,Tarkka-ampujankatu 18 D,2192.682926829268,5.317073170731708,65.0027507,25.4574755
41,41,https://www.etuovi.com/kohde/1390292,25072025,True,,119000.0,1973.0,1390292,"2h, kk, kph, vh",45.0,2/5,Oma,135.0,135.0,2,,Isokatu 77,2644.4444444444443,3.0,65.0057949,25.4645405
